Transaction,Minimum_50,Average_50,Maximum_50,Minimum_60,Average_60,Maximum_60,Ecart Moyenne,Ecart Maximum
Actualisation 1 votre situation,0.229,7.298,27.075,0.142,7.231,53.051,-0.06700000000000017,25.976000000000003
Actualisation 2 comparatif patrimoine,0.132,4.73,12.828,0.519,5.729,28.592,0.9989999999999997,15.764
Actualisation 3 Votre budget,0.372,5.622,12.643,0.217,6.892,40.276,1.2700000000000005,27.633000000000003
Developper Votre Patrimoine : Allocation,0.107,3.297,12.84,0.056,3.559,28.259,0.262,15.419
Developper Votre Patrimoine : Epargne a allouer a votre projet,0.077,2.332,5.488,0.031,2.376,7.636,0.04400000000000004,2.1479999999999997
Developper Votre Patrimoine : Gestion du niveau de risque financier,0.192,5.651,20.459,0.098,5.866,39.424,0.21499999999999986,18.965
Developper Votre Patrimoine : Investissements financiers recapitulatif valider ce conseil,0.115,3.927,13.938,0.183,3.999,19.485,0.07200000000000006,5.546999999999999
Developper Votre Patrimoine : Les orientations de votre investissement,0.277,9.766,42.074,0.056,10.05,39.147,0.2840000000000007,-2.9269999999999996
Developper Votre Patrimoine : Repartition des fonds,0.709,16.818,31.567,0.554,17.832,31.788,1.0139999999999993,0.22100000000000009
Developper Votre Patrimoine : Selectionnez un Compte de depot,0.158,2.321,16.689,0.107,2.219,20.469,-0.10200000000000031,3.780000000000001
Developper Votre Patrimoine : Signer Rapport Adequation,0.048,1.782,11.659,0.013,1.344,15.417,-0.43799999999999994,3.757999999999999
Developper Votre Patrimoine : Votre situation actuelle,0.161,1.807,4.001,0.043,1.583,6.246,-0.22399999999999998,2.245
Developper Votre Patrimoine : Votre situation fiscale actuelle,0.189,7.596,39.144,0.118,7.007,27.385,-0.5890000000000004,-11.758999999999997
Developper Votre Patrimoine: Preconisation financiere,0.102,3.597,7.226,0.056,3.765,24.988,0.16800000000000015,17.762
Developper Votre Patrimoine: Rapport adequation,1.394,16.47,34.341,1.816,16.458,40.838,-0.012000000000000455,6.497
Developper Votre Patrimoine: Synthese des orientations retenues,0.273,7.174,18.032,0.177,7.502,21.675,0.3279999999999994,3.6430000000000007
Fin du parcours Patrimoine : la generation de la feuille de route,,,,,,,,
LCL Mon Patrimoine,0.093,2.165,25.339,0.091,2.054,17.941,-0.11100000000000021,-7.398
